567594579310825473,negative,1.0,Bad Flight,0.6707,United,,brenduch,,0,"@united and don't hope for me having a nicer flight some other time, try to do things right. You sold me those tickets with that connetion",,2015-02-17 00:01:07 -0800,,Buenos Aires
567627253991735296,negative,1.0,Bad Flight,0.3611,United,,DBsViewOnThings,,0,@united please see a flight attendant for what? Why isn't there enough room for over head bags? I carry on to save time!!!,,2015-02-17 02:10:58 -0800,,Atlantic Time (Canada)
567676400933416960,negative,1.0,Late Flight,0.7098,United,,MiKasuga,,0,"@United is officially the worst, most delayed, and least helpful airline I have ever had the misfortune of flying on",,2015-02-17 05:26:15 -0800,"New York, NY",Eastern Time (US & Canada)
567713896627470336,negative,1.0,Flight Attendant Complaints,1.0,United,,rachaeldoyle21,,0,"@united Broken entertainment system on my 8 hour NYC flight, terrible cabin crew service and online complaint form won't work #hopeless",,2015-02-17 07:55:15 -0800,"Portsmouth, UK",
567716403117957120,negative,1.0,Bad Flight,1.0,United,,tcfitz3,,0,"@United - Ridiculous to fly outdated 757s anywhere much less btwn IAH and SFO. No power ports, no  Wifi, no personal entertainment. TORTURE",,2015-02-17 08:05:12 -0800,Houston,Central Time (US & Canada)
567725163077070848,negative,0.6496,Bad Flight,0.3416,United,,BhutanOrient,,0,@united didn't get her name. She was not in our group. She was sitting behind us. Think it was window seat #40? We only overheard...,,2015-02-17 08:40:01 -0800,Bhutan,Pacific Time (US & Canada)
567727403964055552,negative,0.7109,Can't Tell,0.3609,United,,richardkerris,,0,"@united Bad coffee, but the juice is ok. #GetPhilz @ United Terminal SFO Airport http://t.co/Sg7IQqFVsO","[37.62006843, -122.38822083]",2015-02-17 08:48:55 -0800,"Los Gatos, CA ",
567729696662511616,positive,1.0,,,United,,mchooyah,,0,@united Thank you for the new Club at O'Hare. Very comfortable. You made the difficult weather days proficient and enjoyable.,,2015-02-17 08:58:02 -0800,,Mazatlan
567733609130233856,positive,0.7097,,0.0,United,,BhutanOrient,,0,"@united no worries about the tweets. We all should do what we can to make sure we, as in your tag line, ""Fly the Friendly Skies.""",,2015-02-17 09:13:35 -0800,Bhutan,Pacific Time (US & Canada)
567736507687895040,neutral,0.6806,,,United,,BhutanOrient,,0,@united that's what I thought! Thanks for the clarification!,,2015-02-17 09:25:06 -0800,Bhutan,Pacific Time (US & Canada)
567741692854276096,positive,0.6632,,0.0,United,,brenttaylor,,0,@united Brandi Zabsonre in Denver deserves a raise for bringing delight into a terrible travel situation. big ups http://t.co/TK3aOpdtSQ,,2015-02-17 09:45:42 -0800,,Central Time (US & Canada)
567746527704018944,positive,1.0,,,United,,MaryStinchfield,,0,@united thankful for great service in Newark. Seats fixed and I was seated with my daughter! Fab landing in Fort Myers!,,2015-02-17 10:04:55 -0800,Massachusetts  ,
567746540903493632,negative,1.0,Bad Flight,1.0,United,,tcfitz3,,0,@united Not fast enough.  No excuse for service between big hubs to have such outdated craft. Southwest has wifi. This is awful.,,2015-02-17 10:04:58 -0800,Houston,Central Time (US & Canada)
567748973428219904,negative,1.0,Bad Flight,1.0,United,,fshubert,,0,@united 1591 had wi-fi broken on plane. Had same outage on 1618 on Friday. How can Southwest get it right on every plane but United can't?,,2015-02-17 10:14:38 -0800,Northwestern NJ,Eastern Time (US & Canada)
567749045524131841,negative,1.0,Lost Luggage,0.6716,United,,jholowka,,0,@united Nearly 48 hours Late Flightr and still no idea where it is. I will never fly United again if I can help it.,,2015-02-17 10:14:55 -0800,Toronto,Eastern Time (US & Canada)
567756838529208320,positive,0.6697,,0.0,United,,pbralick,,0,"@united doing a good thing, holding flight for a few for 11 peeps on Late Flight connecting flight. We'll still make destination on time",,2015-02-17 10:45:53 -0800,Colorado,Mountain Time (US & Canada)
567758478371196928,negative,1.0,Bad Flight,0.6524,United,,alecearush,,0,@United yall tried it with this little bitty plane flying out of boston!! I hate little planes!!!,,2015-02-17 10:52:24 -0800,,
567760060080599040,positive,1.0,,,United,,sarahrib,,0,"@united on a good note, the 2 employees I encountered @ Newark were fabulous. I was very Late Flight for my connecting flight and they got me on!!!",,2015-02-17 10:58:41 -0800,"Plattsburgh, New York",Quito
567765716527771648,negative,1.0,Late Flight,0.6489,United,,jupiterjpr,,0,@united  flight 441 on 2/4 was delayed over three hours because the pilot never showed up!,,2015-02-17 11:21:10 -0800,,
567767009908109312,negative,0.6633,Late Flight,0.6633,United,,jmacie3,,0,@united thanks kp but luckily my transfer has maintenance issues and is still delayed so I didn't miss my transfer...,,2015-02-17 11:26:18 -0800,,
567767199700758530,negative,1.0,Bad Flight,0.6481,United,,DGomezPearlberg,,1,@united its 2015 and no power outlets at the seats on a 6 hour flight to California? Seriously? This is why airlines are failing!! Pathetic!,"[40.70749747, -74.17084113]",2015-02-17 11:27:03 -0800,NYC,Eastern Time (US & Canada)
567770993159307264,positive,1.0,,,United,,RWMann,,0,"@united Thanks, ^KP. Please also mention the Quiche breakfast and Tandoori chicken dinner entrees and accompaniments are truly First Class.",,2015-02-17 11:42:08 -0800,"Port Washington, NY 11050",Eastern Time (US & Canada)
567773706707021824,neutral,1.0,,,United,,mac8315,,0,@united was never given one,,2015-02-17 11:52:55 -0800,,Eastern Time (US & Canada)
567786652991770629,negative,1.0,Late Flight,1.0,United,,applecor2,,0,@united thanks finally made it.. Missed meetings but what can I do now?,,2015-02-17 12:44:21 -0800,,Mountain Time (US & Canada)
567790177063608320,negative,1.0,Customer Service Issue,1.0,United,,Tony_Ciccolella,,0,@united plus you horrible seating and poor customer service everywhere I've flown. now you take away the mileage program..horrible,,2015-02-17 12:58:21 -0800,"Brentwood, CA",Pacific Time (US & Canada)
567790995148783616,negative,1.0,Bad Flight,0.6296,United,,mattman1964,,0,"@united flight 86 LAX-IAD, back rows NOT CLEANED prior to boarding. How gross is that to find used tissues in your seat?  Please.",,2015-02-17 13:01:36 -0800,NoVa,Eastern Time (US & Canada)
567793696956231680,negative,1.0,Late Flight,1.0,United,,HamiltonSarah,,0,"@united thanks for the offer, but I finally made it to my destination, albeit hours Late Flight.",,2015-02-17 13:12:21 -0800,"chicago, il",Central Time (US & Canada)
